company name,date of reversal
Costco,2021/5/14
Walt Disney World,2021/5/14
Universal Orlando,2021/5/14
Apple,2021/5/14
Sam's Club,2021/5/14
Publix,2021/5/15
Starbucks,2021/5/17
CVS,2021/5/17
Kohl's,2021/5/17
Home Depot,2021/5/17
Target,2021/5/17
Trader Joe's,2021/5/17
PCC,2021/5/17
Walmart,2021/5/18
Best Buy,2021/5/18
Macy's,2021/5/18
Whole Foods,2021/5/19
Kroger,2021/5/19
Walgreens,2021/5/19
Lowe's,2021/5/19
Dollar General,2021/5/19
Nevada Gaming Control Board,2021/5/20
Office Depot,2021/5/20
McDonald's,2021/5/21
Aldi,2021/5/26
